,$f_n$ [Hz],$\xi$ [%]
0,0.05478081487986585,1.037938514170228
1,0.11540583440025802,3.1988202034945976
2,0.14163569218544408,2.8047112282722586
3,0.20246498554944803,1.4247593475604996
4,0.21992661021252827,1.1266025179813706
5,0.287785490088486,0.9898850291640098
6,0.35292688444997206,1.2631227857681222
7,0.35416688678374214,1.2628674604034895
8,0.4297372190383259,0.6174235378232952
9,0.45067905768074024,0.5770044620374333
10,0.4772778106208691,0.2069373837581054
11,0.49789403338355137,0.22028432704271286
12,0.5087619538752761,0.6665602029666483
13,0.5090393630670238,0.6639143816269245
14,0.5450770694814792,0.25602922548150225
15,0.5991947891640979,0.6839505587465953
16,0.6216640573881658,0.6681365842453517
17,0.6937752442056305,0.8205701584627337
18,0.7981305085812332,0.6984402335716524
19,0.9317029630748114,0.46626195056307906
,$f_n$ [Hz],$\xi$ [%]
0,0.0542934849170591,0.8553775277737319
1,0.11912466661888618,4.150105644882652
2,0.14501728910394754,2.591910879680564
3,0.20488133750834875,2.021965389086954
4,0.21877400833680802,1.6822947354091229
5,0.28833570013544235,1.3204145191712697
6,0.2890144403065669,1.0893796056873044
7,0.3520768604535374,1.04999160172111
8,0.42954509911541444,0.6686586025713629
9,0.4493647306942871,0.47079261438477515
10,0.4502103482091646,0.5534967350087902
11,0.45389734699933276,0.535348231260391
12,0.4698277424412588,0.05574549593663102
13,0.47874294238820425,0.14140515867391998
14,0.49850832520609556,0.1496774249243436
15,0.5068439535491481,0.5167225408635884
16,0.507197794795382,0.5366544790834771
17,0.5470191076791787,0.2783137270368721
18,0.5682907798766003,0.12129233134285876
19,0.5971802969182379,0.6887945341300289
20,0.6215349865514488,0.5545288882249971
21,0.695389058101584,0.8699520054692914
22,0.7053207920212288,0.17644501173562688
23,0.7950024229922139,0.8438510705657918
24,0.7951089861819086,0.8404857302981428
25,0.9335629283132525,0.40665636897997093
26,0.9335711956250056,0.40780685425146823
,$f_n$ [Hz],$\xi$ [%]
0,0.05401420043375516,0.5419528859684977
1,0.12132194845811098,3.2804971208466385
2,0.14502553727627168,2.566463467713933
3,0.20586746913544443,1.7843027026345257
4,0.21969037738190875,1.6885599822595343
5,0.2900178416056238,0.9823146597976078
6,0.3509812588647599,1.188920887729844
7,0.3510105890643132,1.1104020805836072
8,0.3511776141866137,1.1406640640295587
9,0.3646844658695335,0.386513364097316
10,0.4306294619551867,0.5781550386723814
11,0.4313590721507431,0.7848966219258598
12,0.4499990063769992,0.48038637743247614
13,0.450094160646726,0.46211467886614715
14,0.47661936418259937,0.4781467625269576
15,0.4983502802474735,0.2043326556117139
16,0.4984055194555737,0.1716308492598833
17,0.509855941112028,0.5433648870281509
18,0.509896763402205,0.5335918687338976
19,0.5135902745452038,0.10657036179025653
20,0.5676321601031046,0.30401138995823757
21,0.5986399083691702,0.9026036839652384
22,0.6207324733978614,0.9491209605960403
23,0.6222999020987575,0.6639653476476443
24,0.6909422266566982,0.7677344713516806
25,0.6910183169070889,0.7705074641866253
26,0.7951805449414436,0.5064171100669559
27,0.7952174075830611,0.5070860672190843
28,0.9340088825083576,0.6733173443912036
,$f_n$ [Hz],$\xi$ [%]
0,0.05440464152222883,1.3043036724693862
1,0.11890212948334007,2.6812788597082227
2,0.14398598214199698,1.402275264024283
3,0.20449222037550643,1.2303316386568812
4,0.21718907910121787,1.322330383112218
5,0.28879142975590844,0.6882977365069534
6,0.35183697142629144,0.9129857269784148
7,0.35210866523994916,1.148879706807824
8,0.42729571033476826,1.2369010151967397
9,0.4284416030946286,1.2494548398367151
10,0.45038971144269935,0.27594384597694704
11,0.4685105458859545,0.1477566445379342
12,0.4775806431458255,0.24574705059503846
13,0.49738755199329515,0.12923272276880834
14,0.5094150392859118,0.7913727853113508
15,0.5097770700057147,0.7196422080616045
16,0.5685783653370575,0.1588533094075648
17,0.5981145523883443,0.7154698699187543
18,0.5981270450291004,0.7159975793227169
19,0.6224463584168839,0.5954464541904806
20,0.623958519008566,0.06494652789691652
21,0.6879601185330901,0.8221102627240813
22,0.6881503873277168,0.8422763349073248
23,0.7967810731759365,0.5853464498961438
24,0.9318740744587511,0.3639559150047041
,$f_n$ [Hz],$\xi$ [%]
0,0.14300714701480147,1.5677223627115717
1,0.20327766940064548,0.8860718467017278
2,0.21889758969923637,1.241069616813159
3,0.28737094851423806,0.7315970234724292
4,0.3505343107075849,1.388665543359585
5,0.3536385061980027,0.6867068113145611
6,0.3543765989346328,0.221512266052074
7,0.4289110316368949,1.1154505481537207
8,0.42955899936866576,1.0601493016263865
9,0.45200028651818547,0.46142886695538743
10,0.45202643456432856,0.45775156110486354
11,0.45229173720145915,0.4306952301921774
12,0.4773429548957155,0.16641174479745102
13,0.4970088660738393,0.2286099019630765
14,0.5071945789816398,0.6635038985944643
15,0.5080333668441086,0.6009813820776523
16,0.5673982004595302,0.11993052327255399
17,0.5975801969416915,0.6808640816995171
18,0.6222798736536937,0.6167734107165256
19,0.6898267287055578,0.649452309272936
20,0.7034084291433106,0.14250642473284203
21,0.7938361653766057,0.7520379521715921
22,0.9326529122954402,0.6407424030420844
,$f_n$ [Hz],$\xi$ [%]
0,0.054261627696177275,1.0932236031262192
1,0.12232923637240051,2.534088755387462
2,0.2047610681094705,0.6647849083585735
3,0.20479753875542256,0.6748769692858025
4,0.21980436315353039,1.369786288673335
5,0.23807235841081478,0.972689289434996
6,0.28684380231987905,0.8340864049060431
7,0.3508705384338171,0.9969648474618531
8,0.3508761351223112,0.9957127331674287
9,0.358436156572776,0.5059113342491993
